movie_id,person_id,role,character_name
19995,65731,Actor,Jake Sully
19995,8691,Actor,Neytiri
19995,10205,Actor,Dr. Grace Augustine
19995,32747,Actor,Col. Quaritch
19995,17647,Actor,Trudy Chacon
19995,1771,Actor,Selfridge
19995,59231,Actor,Norm Spellman
19995,30485,Actor,Moat
19995,15853,Actor,Eytukan
19995,10964,Actor,Tsu'Tey
19995,95697,Actor,Dr. Max Patel
19995,98215,Actor,Lyle Wainfleet
19995,154153,Actor,Private Fike
19995,397312,Actor,Cryo Vault Med Tech
19995,42317,Actor,Venture Star Crew Chief
19995,2710,Director,N/A
285,85,Actor,Captain Jack Sparrow
285,114,Actor,Will Turner
285,116,Actor,Elizabeth Swann
285,1640,Actor,"William ""Bootstrap Bill"" Turner"
285,1619,Actor,Captain Sao Feng
285,2440,Actor,Captain Davy Jones
285,118,Actor,Captain Hector Barbossa
285,1709,Actor,Admiral James Norrington
285,2449,Actor,Joshamee Gibbs
285,2441,Actor,Lord Cutler Beckett
285,2038,Actor,Tia Dalma
285,378,Actor,Governor Weatherby Swann
285,1430,Actor,Captain Teague Sparrow
285,1710,Actor,Pintel
285,1711,Actor,Ragetti
285,1704,Director,N/A
206647,8784,Actor,James Bond
206647,27319,Actor,Blofeld
206647,121529,Actor,Madeleine
206647,5469,Actor,M
206647,28782,Actor,Lucia
206647,17064,Actor,Q
206647,2038,Actor,Moneypenny
206647,543530,Actor,Hinx
206647,125660,Actor,C
206647,139549,Actor,Tanner
206647,2244,Actor,Mr. White
206647,1381616,Actor,Marco Sciarra
206647,929937,Actor,Estrella
206647,87265,Actor,Mexican Man in Lift
206647,983710,Actor,Mexican Woman in Lift
206647,39,Director,N/A
49026,3894,Actor,Bruce Wayne / Batman
49026,3895,Actor,Alfred Pennyworth
49026,64,Actor,James Gordon
49026,1813,Actor,Selina Kyle / Catwoman
49026,2524,Actor,Bane
49026,8293,Actor,Miranda Tate
49026,24045,Actor,Blake
49026,192,Actor,Lucius Fox
49026,2037,Actor,Dr. Jonathan Crane / Scarecrow
49026,36594,Actor,Jen
49026,3896,Actor,Ra's Al Ghul
49026,8654,Actor,Deputy Commissioner Foley
49026,16607,Actor,Dr. Pavel
49026,77335,Actor,Daggett
49026,21316,Actor,The Mayor
49026,525,Director,N/A
49529,60900,Actor,John Carter
49529,21044,Actor,Dejah Thoris
49529,2206,Actor,Sola
49529,5293,Actor,Tars Tarkas
49529,19159,Actor,Tal Hajus
49529,2983,Actor,Matai Shang
49529,8785,Actor,Tardos Mors
49529,17287,Actor,Sab Than
49529,17648,Actor,Kantos Kan
49529,17419,Actor,Powell
49529,6416,Actor,Sarkoja
49529,57675,Actor,Edgar Rice Burroughs
49529,89830,Actor,Stayman #1 / Helm
49529,205278,Actor,Stayman #3
49529,218345,Actor,Lightmaster
49529,7,Director,N/A
559,2219,Actor,Peter Parker / Spider-Man
559,205,Actor,Mary Jane Watson
559,17051,Actor,Harry Osborn / New Goblin
559,19159,Actor,Flint Marko / Sandman
559,17052,Actor,Eddie Brock / Venom
559,18997,Actor,Gwen Stacey
559,18998,Actor,May Parker
559,2505,Actor,Captain Stacey
559,18999,Actor,J. Jonah Jameson
559,9207,Actor,Mrs. Marko
559,19152,Actor,Dr. Curt Connors
559,5502,Actor,Joseph Robertson
559,9281,Actor,Miss Brant
559,11769,Actor,Hoffman
559,6585,Actor,Penny Marko
559,7623,Director,N/A
38757,69899,Actor,Flynn Rider (voice)
38757,16855,Actor,Rapunzel (voice)
38757,2517,Actor,Mother Gothel (voice)
38757,2372,Actor,Stabbington Brother (voice)
38757,22132,Actor,Captain of the Guard (voice)
38757,4175,Actor,Big Nose Thug (voice)
38757,18,Actor,Hook Hand Thug (voice)
38757,1219029,Actor,Short Thug (voice)
38757,10460,Actor,Vlad (voice)
38757,1273208,Actor,Young Rapunzel / Little Girl (voice)
38757,121830,Actor,Guard 1 / Thug 1 (voice)
38757,76595,Actor,Guard 2 / Thug 2 (voice)
38757,61958,Actor,Guard 3 (voice)
38757,76595,Director,N/A
38757,121830,Director,N/A
99861,3223,Actor,Tony Stark / Iron Man
99861,74568,Actor,Thor Odinson
99861,103,Actor,Bruce Banner / Hulk
99861,16828,Actor,Steve Rogers / Captain America
99861,1245,Actor,Natasha Romanoff / Black Widow
99861,17604,Actor,Clint Barton / Hawkeye
99861,13548,Actor,Ultron (voice)
99861,2231,Actor,Nick Fury
99861,1896,Actor,James Rhodes / War Machine
99861,27428,Actor,Pietro Maximoff / Quicksilver
99861,550843,Actor,Wanda Maximoff / Scarlet Witch
99861,6162,Actor,Jarvis (voice) / Vision
99861,71189,Actor,Maria Hill
99861,53650,Actor,Sam Wilson / The Falcon
99861,39459,Actor,Peggy Carter
99861,12891,Director,N/A
767,10980,Actor,Harry Potter
767,10989,Actor,Ron Weasley
767,10990,Actor,Hermione Granger
767,10993,Actor,Draco Malfoy
