id,question_type,movie1_id,movie2_id
1,4,120,49521
2,2,19995,58
3,4,607,680
4,4,120,87101
5,4,510,8966
6,3,76338,122
7,1,210577,121
8,2,216015,49026
9,1,24021,1865
10,5,238,510
11,4,49026,181533
12,5,120,228150
13,5,216015,271110
14,5,150540,49051
15,5,497,278
16,1,286217,310
17,1,424,550
18,3,82702,497
19,4,8966,1726
20,2,11,120
21,2,1726,270303
22,1,257344,181533
23,1,18,87101
24,1,210577,109445
25,1,216015,510
26,5,281957,1726
27,3,198184,550
28,2,293660,109445
29,2,1726,76338
30,4,767,1865
31,4,1865,680
32,1,294254,19995
33,4,131631,240832
34,2,147441,209112
35,5,597,76338
36,5,121,118340
37,3,2048,102899
38,2,310,49047
39,5,102899,98
40,2,49047,102899
41,2,93456,20352
42,2,49047,19995
43,5,19995,672
44,3,271110,240832
45,4,181533,127585
46,2,119450,1726
47,1,158852,1726
48,5,240832,135397
49,1,272,198663
50,5,49026,138832
51,5,49051,50620
52,2,138832,228150
53,2,607,228150
54,3,122917,98566
55,3,49521,425
56,2,425,49047
57,5,294254,240832
58,4,8966,240
59,2,20352,76338
60,1,510,49051
61,5,293660,93456
62,2,62177,91314
63,5,158852,122
64,5,122917,559
65,2,216015,98
66,4,127585,2048
67,5,210577,585
68,4,2048,216015
69,1,254128,122917
70,5,157336,550
71,3,603,2048
72,3,177572,585
73,3,244786,155
74,1,24428,177677
75,5,135397,11
76,2,58,99861
77,4,238,99861
78,4,607,76341
79,1,168259,157336
80,5,58,278
81,4,61791,50620
82,3,157336,10764
83,4,120,93456
84,4,607,76203
85,1,102899,293660
86,3,99861,244786
87,5,262500,10764
88,4,150540,150689
89,1,1865,671
90,1,131631,87101
91,2,244786,49051
92,3,135397,22
93,2,209112,168259
94,3,294254,238
95,5,272,238
96,1,510,294254
97,3,767,272
98,4,87101,109445
99,2,93456,127585
100,5,91314,127585
101,5,58,2048
102,2,24428,238
103,1,98566,209112
104,4,135397,272
105,2,240,585
106,5,262500,585
107,5,18,285
108,1,597,425
109,1,271110,11
110,4,168259,91314
111,3,198663,13
112,3,607,155
113,4,254128,1726
114,5,76203,11
115,5,99861,118340
116,3,240832,597
117,1,129,246655
118,2,20352,240832
119,1,76203,122
120,4,102899,147441
121,2,19995,129
122,5,271110,138832
123,5,118340,286217
124,1,150689,13
125,2,240,285
126,4,240,206647
127,2,597,158852
128,2,109445,246655
129,4,671,49026
130,3,767,1865
131,3,49521,147441
132,3,228150,121
133,2,559,272
134,5,91314,87101
135,2,122917,76338
136,3,198184,135397
137,5,228150,102651
138,3,62177,216015
139,5,49026,286217
140,4,76338,2048
141,5,1726,278
142,2,50620,127585
143,4,310,49026
144,2,597,19995
145,3,240832,138832
146,4,82702,24428
147,1,1865,293660
148,3,122,158852
149,4,209112,135397
150,2,82702,559
151,1,120,27205
152,1,210577,216015
153,4,585,158852
154,3,24021,210577
155,1,138832,680
156,2,19995,198184
157,5,121,87101
158,5,147441,181533
159,3,597,280
160,3,102899,19995
161,4,280,262500
162,4,425,198184
163,2,198184,76203
164,5,281957,87101
165,5,99861,76338
166,3,49051,158852
167,2,559,119450
168,4,102651,147441
169,4,585,122917
170,5,138832,585
171,4,13,244786
172,1,198184,24021
173,2,155,206647
174,5,49051,1865
175,4,102899,49047
176,1,20352,285
177,3,22,285
178,3,168259,424
179,5,13,19995
180,1,61791,211672
181,3,122917,24021
182,2,131631,281957
183,2,102651,99861
184,5,424,310
185,5,119450,1726
186,4,150689,254128
187,1,244786,211672
188,4,294254,49521
189,5,216015,271110
190,3,91314,270303
191,2,510,177572
192,2,271110,121
193,4,181533,91314
194,1,22,211672
195,1,168259,680
196,1,240,254128
197,5,62177,672
198,5,24021,559
199,5,76338,122917
200,3,98,121
