movie_id,revenue,runtime,vote_average,vote_count,budget
19995,2787965087,162.0,7.2,11800,237000000
285,961000000,169.0,6.9,4500,300000000
206647,880674609,148.0,6.3,4466,245000000
49026,1084939099,165.0,7.6,9106,250000000
49529,284139100,132.0,6.1,2124,260000000
559,890871626,139.0,5.9,3576,258000000
38757,591794936,100.0,7.4,3330,260000000
99861,1405403694,141.0,7.3,6767,280000000
767,933959197,153.0,7.4,5293,250000000
209112,873260194,151.0,5.7,7004,250000000
1452,391081192,154.0,5.4,1400,270000000
10764,586090727,106.0,6.1,2965,200000000
58,1065659812,151.0,7.0,5246,200000000
57201,89289910,149.0,5.9,2311,255000000
49521,662845518,143.0,6.5,6359,225000000
2454,419651413,150.0,6.3,1630,225000000
24428,1519557910,143.0,7.4,11776,220000000
1865,1045713802,136.0,6.4,4948,380000000
41154,624026776,106.0,6.2,4160,225000000
122917,956019788,144.0,7.1,4760,250000000
1930,752215857,136.0,6.5,6586,215000000
20662,310669540,140.0,6.2,1398,200000000
57158,958400000,161.0,7.6,4524,250000000
2268,372234864,113.0,5.8,1303,180000000
254,550000000,187.0,6.6,2337,207000000
597,1845034188,194.0,7.5,7562,200000000
271110,1153304495,147.0,7.1,7241,250000000
44833,303025485,131.0,5.5,2114,209000000
135397,1513528810,124.0,6.5,8662,150000000
37724,1108561013,143.0,6.9,7604,200000000
558,783766341,127.0,6.7,4321,200000000
68721,1215439994,130.0,6.8,8806,200000000
12155,1025491110,108.0,6.4,4645,200000000
36668,459359555,104.0,6.3,3525,210000000
62211,743559607,104.0,7.0,3528,200000000
8373,836297228,150.0,6.0,3138,150000000
91314,1091405097,165.0,5.8,3095,210000000
68728,491868548,130.0,5.7,3530,200000000
102382,705717432,142.0,6.5,4179,200000000
20526,400062763,125.0,6.3,2841,170000000
49013,559852396,106.0,5.8,2033,200000000
44912,219851172,114.0,5.1,2487,200000000
10193,1066969703,103.0,7.6,4597,200000000
534,371353001,115.0,5.9,2463,200000000
168259,1506249360,137.0,7.3,4176,190000000
72190,531865000,116.0,6.7,5560,200000000
127585,747862775,131.0,7.5,6032,250000000
54138,467365246,132.0,7.4,4418,190000000
81005,197687603,114.0,5.5,2598,195000000
64682,351040419,143.0,7.3,3769,105000000
9543,335154643,116.0,6.2,2317,150000000
68726,407602906,131.0,6.7,4794,180000000
38356,1123746996,154.0,6.1,3299,195000000
217,786636033,122.0,5.7,2495,185000000
105864,331926147,93.0,6.6,1736,175000000
62177,538983207,93.0,6.7,4641,185000000
188927,343471816,122.0,6.6,2568,185000000
10681,521311860,98.0,7.8,6296,180000000
5174,258022233,91.0,6.1,783,140000000
14161,769653595,158.0,5.6,4903,200000000
17979,325233863,96.0,6.6,1095,200000000
76757,183987723,124.0,5.2,2768,176000003
258489,356743061,109.0,5.5,2430,180000000
411,748806957,143.0,6.7,2629,180000000
246655,543934787,144.0,6.4,4721,178000000
155,1004558444,152.0,8.2,12002,185000000
14160,735099082,96.0,7.7,6870,175000000
15512,381509870,94.0,6.0,1423,175000000
1726,585174222,126.0,7.4,8776,140000000
44826,185770160,126.0,7.0,2141,170000000
8487,222104681,106.0,5.1,1020,170000000
1735,401128639,112.0,5.2,1387,145000000
297761,745000000,123.0,5.9,7458,175000000
2698,173000000,96.0,5.3,1151,175000000
137113,370541256,113.0,7.6,4858,178000000
9804,264218220,135.0,5.9,992,175000000
14869,302469017,118.0,5.6,1962,175000000
150540,857611174,94.0,8.0,6560,175000000
278927,966550600,106.0,6.7,2892,175000000
10138,623933331,124.0,6.6,6849,200000000
58595,396600000,127.0,5.8,3118,170000000
102651,758539785,97.0,7.0,4496,180000000
119450,710644566,130.0,7.3,4410,170000000
79698,0,109.0,4.8,34,27000000
64686,150962475,119.0,5.9,1326,175000000
100402,714766572,136.0,7.6,5764,170000000
10192,752600867,93.0,6.0,1959,165000000
158852,209154322,130.0,6.2,2846,190000000
177572,652105443,102.0,7.8,6135,165000000
82690,471222889,108.0,7.1,4570,165000000
5255,305875730,100.0,6.4,1474,165000000
47933,389681935,120.0,4.9,2491,165000000
10191,494878759,98.0,7.5,4227,165000000
296,435000000,109.0,5.9,2143,200000000
118340,773328629,121.0,7.9,9742,170000000
157336,675120017,169.0,8.1,10867,165000000
27205,825532764,148.0,8.1,13752,160000000
315011,77000000,120.0,6.5,143,15000000
49051,1021103568,169.0,7.0,8297,250000000
9799,207283925,106.0,6.6,3428,38000000
4922,333932083,166.0,7.3,3292,150000000
49538,353624124,132.0,7.1,5181,160000000
131634,653428261,137.0,6.6,3984,160000000
27022,215283742,109.0,5.8,1470,150000000
503,181674817,99.0,5.5,583,160000000
241259,299370084,113.0,6.5,1725,170000000
810,798958165,93.0,6.0,2278,160000000
68735,433677183,123.0,6.3,2268,160000000
87101,440603537,126.0,5.8,3631,155000000
10140,415686217,113.0,6.2,1514,155000000
676,449220945,183.0,6.6,1791,140000000
1858,709709780,144.0,6.6,4040,150000000
1966,167298192,175.0,5.6,927,155000000
675,938212738,138.0,7.4,5494,150000000
674,895921036,157.0,7.5,5608,150000000
8960,624029371,92.0,6.2,2961,150000000
6479,585349010,101.0,6.9,4853,150000000
118,474968763,115.0,6.7,3624,150000000
2062,623722818,111.0,7.5,4369,150000000
272,374218673,140.0,7.5,7359,150000000
10527,603900354,89.0,6.2,1810,150000000
18360,413106170,105.0,5.9,1971,150000000
2080,373062864,107.0,6.2,4021,150000000
605,424988211,129.0,6.4,3096,150000000
109445,1274219009,102.0,7.3,5295,150000000
604,738599701,138.0,6.7,3443,150000000
76338,644571402,112.0,6.8,4755,170000000
76341,378858340,120.0,7.2,9427,150000000
13448,356613439,138.0,6.5,2129,150000000
10195,449326618,115.0,6.6,6525,150000000
13053,309979994,98.0,6.3,1750,150000000
19585,292817841,88.0,5.1,510,150000000
57165,301000000,99.0,5.5,1431,150000000
62213,245527149,113.0,5.7,2320,150000000
177677,682330139,131.0,7.1,3224,150000000
7978,0,102.0,5.5,549,150000000
5559,287594577,91.0,5.7,1171,150000000
49444,665692281,91.0,6.7,1880,150000000
10196,318502923,103.0,4.7,1151,150000000
956,397850012,126.0,6.5,2028,150000000
117251,205366737,131.0,6.4,1891,150000000
50321,38992758,88.0,5.5,199,150000000
11619,64459316,85.0,6.0,874,149000000
266647,128388320,111.0,5.9,954,150000000
82703,272912430,92.0,6.7,843,145000000
652,497409852,163.0,6.9,2759,175000000
80321,746921274,93.0,6.4,1808,145000000
36669,431971116,133.0,5.8,1092,140000000
43074,229147509,116.0,5.3,2142,144000000
95,553799566,151.0,6.4,2482,140000000
608,441818803,88.0,6.0,3114,140000000
2310,195735876,115.0,5.5,841,70000000
