id,movie_id,person_id,role,character_name
1,19995,65731,Actor,Jake Sully
2,19995,8691,Actor,Neytiri
3,19995,10205,Actor,Dr. Grace Augustine
4,19995,32747,Actor,Col. Quaritch
5,19995,17647,Actor,Trudy Chacon
6,19995,1771,Actor,Selfridge
7,19995,59231,Actor,Norm Spellman
8,19995,30485,Actor,Moat
9,19995,15853,Actor,Eytukan
10,19995,10964,Actor,Tsu'Tey
11,19995,95697,Actor,Dr. Max Patel
12,19995,98215,Actor,Lyle Wainfleet
13,19995,154153,Actor,Private Fike
14,19995,397312,Actor,Cryo Vault Med Tech
15,19995,42317,Actor,Venture Star Crew Chief
16,19995,2710,Director,
17,285,85,Actor,Captain Jack Sparrow
18,285,114,Actor,Will Turner
19,285,116,Actor,Elizabeth Swann
20,285,1640,Actor,"William ""Bootstrap Bill"" Turner"
21,285,1619,Actor,Captain Sao Feng
22,285,2440,Actor,Captain Davy Jones
23,285,118,Actor,Captain Hector Barbossa
24,285,1709,Actor,Admiral James Norrington
25,285,2449,Actor,Joshamee Gibbs
26,285,2441,Actor,Lord Cutler Beckett
27,285,2038,Actor,Tia Dalma
28,285,378,Actor,Governor Weatherby Swann
29,285,1430,Actor,Captain Teague Sparrow
30,285,1710,Actor,Pintel
31,285,1711,Actor,Ragetti
32,285,1704,Director,
33,206647,8784,Actor,James Bond
34,206647,27319,Actor,Blofeld
35,206647,121529,Actor,Madeleine
36,206647,5469,Actor,M
37,206647,28782,Actor,Lucia
38,206647,17064,Actor,Q
39,206647,2038,Actor,Moneypenny
40,206647,543530,Actor,Hinx
41,206647,125660,Actor,C
42,206647,139549,Actor,Tanner
43,206647,2244,Actor,Mr. White
44,206647,1381616,Actor,Marco Sciarra
45,206647,929937,Actor,Estrella
46,206647,87265,Actor,Mexican Man in Lift
47,206647,983710,Actor,Mexican Woman in Lift
48,206647,39,Director,
49,49026,3894,Actor,Bruce Wayne / Batman
50,49026,3895,Actor,Alfred Pennyworth
51,49026,64,Actor,James Gordon
52,49026,1813,Actor,Selina Kyle / Catwoman
53,49026,2524,Actor,Bane
54,49026,8293,Actor,Miranda Tate
55,49026,24045,Actor,Blake
56,49026,192,Actor,Lucius Fox
57,49026,2037,Actor,Dr. Jonathan Crane / Scarecrow
58,49026,36594,Actor,Jen
59,49026,3896,Actor,Ra's Al Ghul
60,49026,8654,Actor,Deputy Commissioner Foley
61,49026,16607,Actor,Dr. Pavel
62,49026,77335,Actor,Daggett
63,49026,21316,Actor,The Mayor
64,49026,525,Director,
65,49529,60900,Actor,John Carter
66,49529,21044,Actor,Dejah Thoris
67,49529,2206,Actor,Sola
68,49529,5293,Actor,Tars Tarkas
69,49529,19159,Actor,Tal Hajus
70,49529,2983,Actor,Matai Shang
71,49529,8785,Actor,Tardos Mors
72,49529,17287,Actor,Sab Than
73,49529,17648,Actor,Kantos Kan
74,49529,17419,Actor,Powell
75,49529,6416,Actor,Sarkoja
76,49529,57675,Actor,Edgar Rice Burroughs
77,49529,89830,Actor,Stayman #1 / Helm
78,49529,205278,Actor,Stayman #3
79,49529,218345,Actor,Lightmaster
80,49529,7,Director,
81,559,2219,Actor,Peter Parker / Spider-Man
82,559,205,Actor,Mary Jane Watson
83,559,17051,Actor,Harry Osborn / New Goblin
84,559,19159,Actor,Flint Marko / Sandman
85,559,17052,Actor,Eddie Brock / Venom
86,559,18997,Actor,Gwen Stacey
87,559,18998,Actor,May Parker
88,559,2505,Actor,Captain Stacey
89,559,18999,Actor,J. Jonah Jameson
90,559,9207,Actor,Mrs. Marko
91,559,19152,Actor,Dr. Curt Connors
92,559,5502,Actor,Joseph Robertson
93,559,9281,Actor,Miss Brant
94,559,11769,Actor,Hoffman
95,559,6585,Actor,Penny Marko
96,559,7623,Director,
97,38757,69899,Actor,Flynn Rider (voice)
98,38757,16855,Actor,Rapunzel (voice)
99,38757,2517,Actor,Mother Gothel (voice)
100,38757,2372,Actor,Stabbington Brother (voice)
101,38757,22132,Actor,Captain of the Guard (voice)
102,38757,4175,Actor,Big Nose Thug (voice)
103,38757,18,Actor,Hook Hand Thug (voice)
104,38757,1219029,Actor,Short Thug (voice)
105,38757,10460,Actor,Vlad (voice)
106,38757,1273208,Actor,Young Rapunzel / Little Girl (voice)
107,38757,121830,Actor,Guard 1 / Thug 1 (voice)
108,38757,76595,Actor,Guard 2 / Thug 2 (voice)
109,38757,61958,Actor,Guard 3 (voice)
110,38757,76595,Director,
111,38757,121830,Director,
112,99861,3223,Actor,Tony Stark / Iron Man
113,99861,74568,Actor,Thor Odinson
114,99861,103,Actor,Bruce Banner / Hulk
115,99861,16828,Actor,Steve Rogers / Captain America
116,99861,1245,Actor,Natasha Romanoff / Black Widow
