movie_id,platform_id
19995,337
285,337
206647,9
49026,1899
49529,337
559,337
38757,337
99861,337
767,1899
209112,1899
1452,1899
10764,9
58,337
49521,1899
2454,337
24428,337
1865,337
41154,257
122917,1899
1930,8
20662,8
57158,1899
254,1855
597,531
271110,337
44833,8
135397,386
37724,9
558,337
68721,337
12155,337
36668,337
62211,337
8373,531
91314,531
68728,337
102382,8
20526,337
49013,337
44912,1899
10193,337
168259,386
72190,531
127585,337
54138,8
9543,337
38356,531
217,9
105864,337
62177,337
188927,8
10681,337
5174,2528
14161,15
17979,337
76757,289
411,337
246655,337
155,1899
14160,337
1726,337
44826,257
8487,363
297761,1899
2698,1855
137113,8
9804,9
14869,8
150540,337
278927,337
10138,337
102651,634
119450,1899
79698,257
64686,8
100402,337
158852,337
177572,337
82690,337
5255,1899
10191,386
118340,337
27205,1899
49051,1899
9799,386
4922,8
49538,337
131634,1899
27022,337
241259,337
810,386
68735,1855
87101,257
10140,337
676,15
1858,531
675,1899
674,1899
8960,8
118,1899
2062,337
272,1899
18360,337
2080,337
109445,337
76338,337
76341,8
13448,257
10195,337
13053,337
19585,337
57165,528
177677,531
7978,1899
49444,1899
956,531
117251,8
50321,337
266647,1899
82703,8
652,528
36669,9
43074,15
95,2528
608,257
140300,386
56292,531
81188,386
13475,8
557,337
82702,386
205584,8
13183,1899
1927,8
72559,8
1771,337
36643,9
50620,15
1724,337
267935,337
77950,8
44896,8
2503,1855
9502,386
102899,337
101299,1899
74,531
417859,1899
86834,257
673,1899
82700,257
10567,337
181533,337
38055,1899
671,1899
49524,8
22,337
131631,1899
591,1855
172385,337
36658,337
51497,386
18823,1899
861,257
415,1899
8871,9
435,15
955,531
2133,2528
1979,337
1250,1855
324668,1899
70981,15
68724,8
2789,1855
97020,34
42888,15
37834,337
75612,8
1895,337
1894,337
585,337
76170,337
1893,337
49519,386
2395,9
12100,257
98566,8
9619,8
308531,8
166424,337
1593,337
254128,8
714,9
2024,8
787,8
262500,2445
2567,34
38745,337
13700,337
262504,1855
39254,257
80274,2528
1571,15
120,1899
10204,337
10588,386
2048,15
1495,1855
10198,337
286217,8
9679,2528
98,257
180,257
672,1899
36557,9
869,2528
280,8
11322,1899
36955,2528
18487,1855
27581,8
10545,337
11688,337
2059,337
2486,337
116711,15
9946,9
106646,257
414,1899
563,257
41216,1899
184315,34
9016,337
18162,1899
138103,2445
257088,2392
10214,1899
22972,289
29193,9
1734,257
3131,257
9890,257
18,257
37786,1899
57800,337
150689,337
7980,257
12,337
122,1899
121,1899
1995,8
331,386
61791,1899
8204,257
9806,337
1408,9
32657,337
607,257
863,337
44048,337
5175,2528
2655,258
22794,8
8355,337
4327,8
1422,528
10674,337
7446,531
1572,15
271969,9
10865,337
2253,257
10756,337
686,212
179,8
76285,337
1996,8
291805,386
10003,257
1535,8
2067,257
46195,337
4477,8
8665,9
9387,1854
4464,257
664,2528
8358,528
9836,1899
2502,1855
9772,2528
52451,257
76492,15
4523,337
59961,8
10481,337
59108,8
22897,1899
157350,2445
853,257
10159,386
9593,257
1904,8
9615,386
51052,9
297,8
62764,1899
22538,1855
9341,257
12107,8
49049,1899
9339,15
11253,634
1949,257
310,9
954,531
70160,1899
45243,8
364,1899
11544,337
9986,531
8656,8
